series_id,year,period,value,footnote_codes
PRS30006011      ,1995,Q01,2.6,
PRS30006011      ,1995,Q02,2.1,
PRS30006011      ,1995,Q03,0.9,
PRS30006011      ,1995,Q04,0.1,
PRS30006011      ,1995,Q05,1.4,
PRS30006011      ,1996,Q01,-0.2,
PRS30006011      ,1996,Q02,-0.3,
PRS30006011      ,1996,Q03,-0.1,
PRS30006011      ,1996,Q04,0.2,
PRS30006011      ,1996,Q05,-0.1,
PRS30006011      ,1997,Q01,0.3,
PRS30006011      ,1997,Q02,0.7,
PRS30006011      ,1997,Q03,1.0,
PRS30006011      ,1997,Q04,1.5,
PRS30006011      ,1997,Q05,0.9,
PRS30006011      ,1998,Q01,1.6,
PRS30006011      ,1998,Q02,1.6,
PRS30006011      ,1998,Q03,0.5,
PRS30006011      ,1998,Q04,-0.3,
PRS30006011      ,1998,Q05,0.8,
PRS30006011      ,1999,Q01,-1.4,
PRS30006011      ,1999,Q02,-2.0,
PRS30006011      ,1999,Q03,-1.1,
PRS30006011      ,1999,Q04,-1.6,
PRS30006011      ,1999,Q05,-1.6,
PRS30006011      ,2000,Q01,-0.7,
PRS30006011      ,2000,Q02,0.3,
PRS30006011      ,2000,Q03,-0.3,
PRS30006011      ,2000,Q04,-0.3,
PRS30006011      ,2000,Q05,-0.3,
PRS30006011      ,2001,Q01,-1.4,
PRS30006011      ,2001,Q02,-4.0,
PRS30006011      ,2001,Q03,-5.5,
PRS30006011      ,2001,Q04,-7.8,
PRS30006011      ,2001,Q05,-4.6,
PRS30006011      ,2002,Q01,-8.7,
PRS30006011      ,2002,Q02,-8.1,
PRS30006011      ,2002,Q03,-6.8,
PRS30006011      ,2002,Q04,-5.2,
PRS30006011      ,2002,Q05,-7.2,
PRS30006011      ,2003,Q01,-4.4,
PRS30006011      ,2003,Q02,-4.7,
PRS30006011      ,2003,Q03,-5.2,
PRS30006011      ,2003,Q04,-4.4,
PRS30006011      ,2003,Q05,-4.7,
PRS30006011      ,2004,Q01,-3.4,
PRS30006011      ,2004,Q02,-1.7,
PRS30006011      ,2004,Q03,-0.4,
PRS30006011      ,2004,Q04,0.1,
PRS30006011      ,2004,Q05,-1.4,
PRS30006011      ,2005,Q01,-0.1,
PRS30006011      ,2005,Q02,-0.2,
PRS30006011      ,2005,Q03,-0.9,
PRS30006011      ,2005,Q04,-0.8,
PRS30006011      ,2005,Q05,-0.5,
PRS30006011      ,2006,Q01,-0.2,
PRS30006011      ,2006,Q02,-0.3,
PRS30006011      ,2006,Q03,-0.5,
PRS30006011      ,2006,Q04,-1.3,
PRS30006011      ,2006,Q05,-0.6,
PRS30006011      ,2007,Q01,-1.5,
PRS30006011      ,2007,Q02,-1.7,
PRS30006011      ,2007,Q03,-1.8,
PRS30006011      ,2007,Q04,-1.8,
PRS30006011      ,2007,Q05,-1.7,
PRS30006011      ,2008,Q01,-2.5,
PRS30006011      ,2008,Q02,-2.8,
PRS30006011      ,2008,Q03,-3.5,
PRS30006011      ,2008,Q04,-5.5,
PRS30006011      ,2008,Q05,-3.6,
PRS30006011      ,2009,Q01,-9.3,
PRS30006011      ,2009,Q02,-12.3,
PRS30006011      ,2009,Q03,-12.3,
PRS30006011      ,2009,Q04,-11.1,
PRS30006011      ,2009,Q05,-11.3,
PRS30006011      ,2010,Q01,-7.2,
PRS30006011      ,2010,Q02,-3.0,
PRS30006011      ,2010,Q03,-1.1,
PRS30006011      ,2010,Q04,0.4,
PRS30006011      ,2010,Q05,-2.8,
PRS30006011      ,2011,Q01,1.4,
PRS30006011      ,2011,Q02,1.4,
PRS30006011      ,2011,Q03,1.0,
PRS30006011      ,2011,Q04,1.6,
PRS30006011      ,2011,Q05,1.3,
PRS30006011      ,2012,Q01,1.8,
PRS30006011      ,2012,Q02,1.9,
PRS30006011      ,2012,Q03,2.3,
PRS30006011      ,2012,Q04,1.6,
PRS30006011      ,2012,Q05,1.9,
PRS30006011      ,2013,Q01,1.3,
PRS30006011      ,2013,Q02,0.2,
PRS30006011      ,2013,Q03,0.2,
PRS30006011      ,2013,Q04,0.7,
PRS30006011      ,2013,Q05,0.6,
PRS30006011      ,2014,Q01,0.6,
PRS30006011      ,2014,Q02,1.3,
PRS30006011      ,2014,Q03,1.5,
PRS30006011      ,2014,Q04,1.9,
PRS30006011      ,2014,Q05,1.3,
PRS30006011      ,2015,Q01,1.3,
PRS30006011      ,2015,Q02,1.5,
PRS30006011      ,2015,Q03,1.3,
PRS30006011      ,2015,Q04,0.8,
PRS30006011      ,2015,Q05,1.3,
PRS30006011      ,2016,Q01,0.4,
PRS30006011      ,2016,Q02,0.0,
PRS30006011      ,2016,Q03,-0.1,
PRS30006011      ,2016,Q04,-0.4,
PRS30006011      ,2016,Q05,0.0,
PRS30006011      ,2017,Q01,0.5,
PRS30006011      ,2017,Q02,0.6,
PRS30006011      ,2017,Q03,0.9,
PRS30006011      ,2017,Q04,1.7,
PRS30006011      ,2017,Q05,0.9,
PRS30006011      ,2018,Q01,1.4,
PRS30006011      ,2018,Q02,1.6,
PRS30006011      ,2018,Q03,1.7,
PRS30006011      ,2018,Q04,1.8,
PRS30006011      ,2018,Q05,1.6,
PRS30006011      ,2019,Q01,1.6,
PRS30006011      ,2019,Q02,1.2,R
PRS30006011      ,2019,Q03,1.2,R
PRS30006011      ,2019,Q04,0.2,R
PRS30006011      ,2019,Q05,1.1,R
PRS30006011      ,2020,Q01,-0.8,R
PRS30006011      ,2020,Q02,-8.3,R
PRS30006011      ,2020,Q03,-6.2,R
PRS30006011      ,2020,Q04,-4.5,R
PRS30006011      ,2020,Q05,-4.9,R
PRS30006012      ,1995,Q01,1.5,
PRS30006012      ,1995,Q02,-0.1,
PRS30006012      ,1995,Q03,-1.1,
PRS30006012      ,1995,Q04,0.1,
PRS30006012      ,1995,Q05,1.4,
PRS30006012      ,1996,Q01,0.4,
PRS30006012      ,1996,Q02,-0.5,
PRS30006012      ,1996,Q03,-0.2,
PRS30006012      ,1996,Q04,1.0,
PRS30006012      ,1996,Q05,-0.1,
PRS30006012      ,1997,Q01,1.0,
PRS30006012      ,1997,Q02,1.0,
PRS30006012      ,1997,Q03,0.8,
PRS30006012      ,1997,Q04,3.1,
PRS30006012      ,1997,Q05,0.9,
PRS30006012      ,1998,Q01,1.4,
PRS30006012      ,1998,Q02,0.9,
PRS30006012      ,1998,Q03,-3.4,
PRS30006012      ,1998,Q04,0.2,
PRS30006012      ,1998,Q05,0.8,
PRS30006012      ,1999,Q01,-3.3,
PRS30006012      ,1999,Q02,-1.5,
PRS30006012      ,1999,Q03,0.3,
PRS30006012      ,1999,Q04,-1.9,
PRS30006012      ,1999,Q05,-1.6,
PRS30006012      ,2000,Q01,0.2,
PRS30006012      ,2000,Q02,2.4,
PRS30006012      ,2000,Q03,-2.1,
PRS30006012      ,2000,Q04,-1.8,
PRS30006012      ,2000,Q05,-0.3,
PRS30006012      ,2001,Q01,-3.9,
PRS30006012      ,2001,Q02,-8.1,
PRS30006012      ,2001,Q03,-7.9,
PRS30006012      ,2001,Q04,-10.9,
PRS30006012      ,2001,Q05,-4.6,
PRS30006012      ,2002,Q01,-7.6,
PRS30006012      ,2002,Q02,-5.6,
PRS30006012      ,2002,Q03,-2.9,
PRS30006012      ,2002,Q04,-4.7,
PRS30006012      ,2002,Q05,-7.2,
PRS30006012      ,2003,Q01,-4.5,
PRS30006012      ,2003,Q02,-6.9,
PRS30006012      ,2003,Q03,-4.6,
PRS30006012      ,2003,Q04,-1.6,
PRS30006012      ,2003,Q05,-4.7,
PRS30006012      ,2004,Q01,-0.3,
PRS30006012      ,2004,Q02,-0.4,
PRS30006012      ,2004,Q03,0.6,
PRS30006012      ,2004,Q04,0.4,
PRS30006012      ,2004,Q05,-1.4,
PRS30006012      ,2005,Q01,-1.0,
PRS30006012      ,2005,Q02,-0.8,
PRS30006012      ,2005,Q03,-2.4,
PRS30006012      ,2005,Q04,0.9,
PRS30006012      ,2005,Q05,-0.5,
PRS30006012      ,2006,Q01,1.3,
PRS30006012      ,2006,Q02,-0.8,
PRS30006012      ,2006,Q03,-3.3,
PRS30006012      ,2006,Q04,-2.4,
PRS30006012      ,2006,Q05,-0.6,
PRS30006012      ,2007,Q01,0.6,
PRS30006012      ,2007,Q02,-1.8,
PRS30006012      ,2007,Q03,-3.5,
PRS30006012      ,2007,Q04,-2.5,
PRS30006012      ,2007,Q05,-1.7,
PRS30006012      ,2008,Q01,-2.1,
PRS30006012      ,2008,Q02,-3.1,
PRS30006012      ,2008,Q03,-6.2,
PRS30006012      ,2008,Q04,-10.3,
PRS30006012      ,2008,Q05,-3.6,
PRS30006012      ,2009,Q01,-17.1,
PRS30006012      ,2009,Q02,-15.2,
PRS30006012      ,2009,Q03,-6.2,
PRS30006012      ,2009,Q04,-5.1,
PRS30006012      ,2009,Q05,-11.3,
PRS30006012      ,2010,Q01,-1.7,
PRS30006012      ,2010,Q02,1.2,
PRS30006012      ,2010,Q03,1.3,
PRS30006012      ,2010,Q04,0.8,
PRS30006012      ,2010,Q05,-2.8,
PRS30006012      ,2011,Q01,2.2,
PRS30006012      ,2011,Q02,1.4,
PRS30006012      ,2011,Q03,-0.5,
PRS30006012      ,2011,Q04,3.2,
PRS30006012      ,2011,Q05,1.3,
